en,es
Building Public Safety,Edificio de Seguridad Pública
Making Baltimore Equitable,Haciendo Baltimore equitativa
Prioritizing Our Youth,Priorización de nuestra juventud
Building Public Trust,Fomento de la confianza pública
COVID-19 Recovery,COVID-19 Recuperación
Responsible Stewardship of City Resources,Administración responsable de los recursos de la ciudad
Create Mayor's Office of Neighborhood Safety and Engagement.,Crear la Oficina de Seguridad de la Comunidad y el compromiso del Alcalde.
Establish monthly PoliceStat meetings to build stronger accountability within BPD and improve service delivery.,Establecer reuniones mensuales PoliceStat para construir mayor responsabilidad dentro de la DBP y mejorar la prestación de servicios.
"Set clear, coordinated public safety vision that addresses violence today and root causes.","Establecer, coordinado visión clara de seguridad pública que aborda la violencia hoy en día y las causas."
Task Mayor's Office of Neighborhood Safety and Engagement with coordinating public safety strategy.,Es tarea Alcalde Oficina de Seguridad de la Comunidad y de compromiso con la coordinación de la estrategia de seguridad pública.
Introduce local housing voucher program.,Introducir programa de vales de vivienda local.
Adopt and support Complete Streets manual increase quality of life and mobility in Baltimore.,Adoptar y apoyar Calles Completas aumento manual de la calidad de vida y la movilidad en Baltimore.
Begin implementing a Group Violence Reduction Strategy.,Empezar a aplicar una estrategia de lucha contra la violencia de grupo.
Proactively deploy City agencies to address environmental concerns that contribute to neighborhood safety.,Proactivamente implementar organismos municipales para abordar las preocupaciones ambientales que contribuyen a la seguridad del vecindario.
Meet with community leaders and residents around a shared vision for public safety.,Se reúnen con líderes de la comunidad y los residentes en torno a una visión compartida para la seguridad pública.
Convene the first meeting of the Public Safety Advisory Commission.,Convocar la primera reunión de la Comisión Asesora de Seguridad Pública.
Hire Baltimore's first Chief Equity Officer.,Contratar primer director de la equidad de Baltimore.
Hire a Digital Equity Director.,Contratar a un Director de equidad digital.
Identify a senior official in each agency to be responsible for equity and sustainable action.,Identificar un alto funcionario en cada agencia que es responsable de la equidad y la acción sostenible.
Commit to Baltimore's zero waste goals and begin shifts toward a more sustainable city.,Comprometerse con los objetivos de desecho de Baltimore cero y comenzar los cambios hacia una ciudad más sostenible.
Elevate Sustainability Director to a cabinet-level position.,Directora de Sostenibilidad Elevar a una posición a nivel de gabinete.
Remove the most vulnerable residents from tax sale.,Retire los residentes más vulnerables de la venta de impuestos.
Announce a back-to-basics community development strategy that centers community input.,Anunciar una estrategia de desarrollo comunitario volver a lo básico de que la entrada de la comunidad centros.
"Create a Neighborhood Stat to track progress on retention, attraction, and growth in neighborhoods.","Crear un Stat Barrio pista al progreso en la retención, atracción, y el crecimiento en los barrios."
Begin top-to-bottom review of the procurement process.,Comience arriba a abajo revisión del proceso de adquisición.
Activate small and local business preference in the procurement process.,Activar la preferencia pequeñas y locales de negocios en el proceso de adquisición.
Prioritize tracking data for City developments and projects that receive TIFs around local hiring and workforce development.,Dar prioridad a los datos de seguimiento de la evolución de la ciudad y los proyectos que reciben TIF alrededor de la contratación local y el desarrollo del personal.
"Establish a Hiring Task Force to review HR practices, policy interventions, best practices, and barriers through a lens of equity and meet workforce needs.","Establecer un Grupo de Trabajo Contratación para revisar las prácticas de recursos humanos, las intervenciones políticas, mejores prácticas, y las barreras a través de una lente de las necesidades de capital y mano de obra se encuentran."
Establish a resident preference program for City jobs.,Establecer un programa de preferencias residente de trabajos de la ciudad.
Prioritize the Baltimore Greenway Trails Network.,Dar prioridad a la Red de Senderos Baltimore Greenway.
Join Climate Mayors in supporting the spirit and goals of the Paris Climate Agreement.,Unirse a Alcaldes Clima en apoyar el espíritu y los objetivos del Acuerdo Climático París.
Support the overrides of the Blueprint for Maryland's Future and Built to Learn.,Apoyar las sustituciones del Plan para el Futuro de Maryland y construido para aprender.
Prepare to significantly increase the capacity of virtual YouthWorks in 2021.,Prepárese para aumentar significativamente la capacidad de YouthWorks virtuales en 2021.
Begin implementation of the Elijah Cummings Healing City Act to ensure trauma-informed practice across city government.,Iniciar la aplicación de la Ley de la Ciudad de Elijah Cummings curación para garantizar la práctica trauma informado en todo el gobierno de la ciudad.
"Develop plan for equitable and age-appropriate access in partnership with sports, arts, and cultural institutions that create recreational services during this unprecedented pandemic.","Desarrollar un plan para el acceso equitativo y apropiado para la edad en asociación con los deportes, las artes y las instituciones culturales que crean los servicios de esparcimiento durante esta pandemia sin precedentes."
Hire Baltimore's first Chief Administrative Officer.,Contratar primer jefe administrativo de Baltimore.
Kick off community engagement plan to introduce Chief Administrative Officer and other senior officials to public.,Kick off plan de participación comunitaria para introducir Gerente de Administración y otros funcionarios de alto nivel para el público.
Establish a regular Stat program to ensure greater accountability and more equitable service delivery across City government.,Establecer un programa regular de estadísticas para asegurar una mayor responsabilidad y la prestación de servicios más equitativa en todo el gobierno de la ciudad.
"Restore recycling services, which were suspended due to COVID-19.","Restaurar servicios de reciclaje, que fueron suspendidas debido a COVID-19."
Announce plan to reform the water billing program.,Anuncian plan para reformar el programa de facturación de agua.
Appoint a permanent Housing Commissioner.,Nombrar un Comisionado de Vivienda permanente.
Appoint a permanent Homeless Services director.,Nombrar a un director de servicios para personas sin hogar permanente.
"Initiate a Fix-it First campaign to fill backlog of transportation and infrastructure related 311 service requests, particularly where there has historically been a longer response time.","Iniciar una Fix-it Primera campaña de acumulación de llenado del transporte y la infraestructura relacionada con las solicitudes de 311 servicios, en particular en los que ha sido históricamente un tiempo de respuesta más largo."
Publish a clear and concise set of procedures to apply for and receive city-owned properties for development.,Publicar un conjunto claro y conciso de procedimientos para solicitar y recibir propiedades de propiedad municipal para el desarrollo.
Make stronger commitments to cleaning up sewage backups.,Hacer compromisos más fuertes para la limpieza de las copias de seguridad de aguas residuales.
Develop and communicate a COVID-19 vaccination prioritization strategy.,Desarrollar y comunicar una estrategia de vacunación priorización COVID-19.
Create a dashboard to track CARES act funding to ensure equitable distribution.,Crear un panel de control para realizar un seguimiento de CARES fondos de la Ley para garantizar una distribución equitativa.
Use Rapid Rehousing CARES Act dollars to move 500 people and families to more permanent housing.,Uso Relocalización Rápida CARES dinero de la Ley 500 para mover personas y familias a una vivienda más permanente.
Extend emergency shelter in local hotels when CARES Act funding expires.,Extender refugio de emergencia en hoteles locales cuando expira CARES financiación de la Ley.
Cap restaurant delivery fees on third-party app services.,Cap restaurante gastos de envío en los servicios de aplicaciones de terceros.
Identify clear point of contact for local businesses to more effectively navigate city government.,Identificar claro punto de contacto para las empresas locales de gobierno de la ciudad más efectiva navegar.
"Begin holistic, top-to-bottom assessment of city agencies and process to inventory city property.","Begin, evaluación holística de arriba a abajo de agencias de la ciudad y al proceso de propiedad de la ciudad de inventario."
"Begin a holistic review of tax credits to address inefficiencies, redundancies, or new credits that would build a more equitable city.","Comenzar una revisión integral de los créditos fiscales a las ineficiencias de dirección, redundancias, o nuevos créditos que construir una ciudad más equitativa."
Announce new criteria for evaluation of capital budget requests.,Anunciar nuevos criterios para la evaluación de las solicitudes de presupuesto de capital.
Expand community engagement in the budget process.,Ampliar la participación comunitaria en el proceso presupuestario.
Commit to updating the City's 10-year financial plan.,Comprometerse a actualizar el plan financiero de 10 años de la Ciudad.
Design and release Open Checkbook for Baltimore to increase transparency and accountability.,Diseñar y liberar abierta del talonario de cheques para Baltimore para aumentar la transparencia y la rendición de cuentas.
Mayor's Office of Neighborhood Safety & Engagement,Oficina de Seguridad y Barrio de compromiso del Alcalde
Baltimore Police Department,Departamento de Policía de Baltimore
"Mayor's Office, Mayor's Office of Neighborhood Safety & Engagement, Baltimore City Health Department, Baltimore Police Department","Oficina del Alcalde, Oficina de Seguridad y Barrio de compromiso del Alcalde, Baltimore Departamento de Salud de la Ciudad, Departamento de Policía de Baltimore"
