"en","fr"
"Building Public Safety","Public Safety Building"
"Making Baltimore Equitable","Faire Baltimore équitable"
"Prioritizing Our Youth","Prioriser Notre jeunesse"
"Building Public Trust","Public Trust Building"
"COVID-19 Recovery","Covid-19 Récupération"
"Responsible Stewardship of City Resources","Une gestion responsable des ressources sur la ville"
"Create Mayor's Office of Neighborhood Safety and Engagement.","Créer Bureau de sécurité du quartier et l'engagement du maire."
"Establish monthly PoliceStat meetings to build stronger accountability within BPD and improve service delivery.","Mettre en place des réunions mensuelles PoliceStat pour renforcer la responsabilisation plus forte au sein BPD et d'améliorer la prestation des services."
"Set clear, coordinated public safety vision that addresses violence today and root causes.","Définir la vision de la sécurité publique claire, coordonnée que la violence des adresses aujourd'hui et les causes profondes."
"Task Mayor's Office of Neighborhood Safety and Engagement with coordinating public safety strategy.","Bureau du Maire est Groupe de sécurité du quartier et l'engagement de coordonner la stratégie de la sécurité publique."
"Introduce local housing voucher program.","Présentez-programme local de bon de logement."
"Adopt and support Complete Streets manual increase quality of life and mobility in Baltimore.","Adopter et soutenir les rues complètes d'augmenter la qualité de vie manuelle et la mobilité à Baltimore."
"Begin implementing a Group Violence Reduction Strategy.","Commencez la mise en œuvre d'une stratégie de réduction de la violence du groupe."
"Proactively deploy City agencies to address environmental concerns that contribute to neighborhood safety.","déployer proactivement agences Ville pour répondre aux préoccupations environnementales qui contribuent à la sécurité du quartier."
"Meet with community leaders and residents around a shared vision for public safety.","Rencontre avec les dirigeants communautaires et les résidents autour d'une vision commune de la sécurité publique."
"Convene the first meeting of the Public Safety Advisory Commission.","Convoquer la première réunion de la Commission consultative de la sécurité publique."
"Hire Baltimore's first Chief Equity Officer.","Recrutez premier administrateur en chef de Baltimore Equity."
"Hire a Digital Equity Director.","Embaucher un directeur numérique Equity."
"Identify a senior official in each agency to be responsible for equity and sustainable action.","Identifier un haut responsable de chaque organisme pour être responsable de l'équité et de l'action durable."
"Commit to Baltimore's zero waste goals and begin shifts toward a more sustainable city.","Engagez-vous à zéro les objectifs de déchets de Baltimore et de commencer vers des changements une ville plus durable."
"Elevate Sustainability Director to a cabinet-level position.","Elevate Directeur Développement Durable à un poste de niveau ministériel."
"Remove the most vulnerable residents from tax sale.","Retirer les plus vulnérables résidents de la vente d'impôt."
"Announce a back-to-basics community development strategy that centers community input.","Annoncer un retour à la stratégie de base de développement communautaire que les centres d'entrée communautaire."
"Create a Neighborhood Stat to track progress on retention, attraction, and growth in neighborhoods.","Créer un quartier Stat au progrès de la piste sur la rétention, l'attraction et la croissance dans les quartiers."
"Begin top-to-bottom review of the procurement process.","Début de haut en bas examen du processus d'approvisionnement."
"Activate small and local business preference in the procurement process.","Activer petite et la préférence des entreprises locales dans le processus d'approvisionnement."
