"","en","es"
"1","Building Public Safety","Edificio de Seguridad Pública"
"2","Making Baltimore Equitable","Haciendo Baltimore equitativa"
"3","Prioritizing Our Youth","Priorización de nuestra juventud"
"4","Building Public Trust","Fomento de la confianza pública"
"5","Building Public Trust",NA
"6","COVID-19 Recovery",NA
"7","Responsible Stewardship of City Resources",NA
"8","Create Mayor's Office of Neighborhood Safety and Engagement.","Crear la Oficina de Seguridad de la Comunidad y el compromiso del Alcalde."
"9","Establish monthly PoliceStat meetings to build stronger accountability within BPD and improve service delivery.","Establecer reuniones mensuales PoliceStat para construir mayor responsabilidad dentro de la DBP y mejorar la prestación de servicios."
"10","Set clear, coordinated public safety vision that addresses violence today and root causes.","Establecer, coordinado visión clara de seguridad pública que aborda la violencia hoy en día y las causas."
"11","Task Mayor's Office of Neighborhood Safety and Engagement with coordinating public safety strategy.","Es tarea Alcalde Oficina de Seguridad de la Comunidad y de compromiso con la coordinación de la estrategia de seguridad pública."
"12","Introduce local housing voucher program.","Introducir programa de vales de vivienda local."
"13","Adopt and support Complete Streets manual increase quality of life and mobility in Baltimore.","Adoptar y apoyar Calles Completas aumento manual de la calidad de vida y la movilidad en Baltimore."
"14","Begin implementing a Group Violence Reduction Strategy.","Empezar a aplicar una estrategia de lucha contra la violencia de grupo."
"15","Proactively deploy City agencies to address environmental concerns that contribute to neighborhood safety.","Proactivamente implementar organismos municipales para abordar las preocupaciones ambientales que contribuyen a la seguridad del vecindario."
"16","Meet with community leaders and residents around a shared vision for public safety.","Se reúnen con líderes de la comunidad y los residentes en torno a una visión compartida para la seguridad pública."
"17","Convene the first meeting of the Public Safety Advisory Commission.","Convocar la primera reunión de la Comisión Asesora de Seguridad Pública."
"18","Hire Baltimore's first Chief Equity Officer.","Contratar primer director de la equidad de Baltimore."
"19","Hire a Digital Equity Director.","Contratar a un Director de equidad digital."
"20","Identify a senior official in each agency to be responsible for equity and sustainable action.","Identificar un alto funcionario en cada agencia que es responsable de la equidad y la acción sostenible."
"21","Commit to Baltimore's zero waste goals and begin shifts toward a more sustainable city.","Comprometerse con los objetivos de desecho de Baltimore cero y comenzar los cambios hacia una ciudad más sostenible."
"22","Elevate Sustainability Director to a cabinet-level position.","Directora de Sostenibilidad Elevar a una posición a nivel de gabinete."
"23","Remove the most vulnerable residents from tax sale.","Retire los residentes más vulnerables de la venta de impuestos."
"24","Announce a back-to-basics community development strategy that centers community input.","Anunciar una estrategia de desarrollo comunitario volver a lo básico de que la entrada de la comunidad centros."
"25","Create a Neighborhood Stat to track progress on retention, attraction, and growth in neighborhoods.","Crear un Stat Barrio pista al progreso en la retención, atracción, y el crecimiento en los barrios."
"26","Begin top-to-bottom review of the procurement process.","Comience arriba a abajo revisión del proceso de adquisición."
"27","Activate small and local business preference in the procurement process.","Activar la preferencia pequeñas y locales de negocios en el proceso de adquisición."
"28","Prioritize tracking data for City developments and projects that receive TIFs around local hiring and workforce development.","Dar prioridad a los datos de seguimiento de la evolución de la ciudad y los proyectos que reciben TIF alrededor de la contratación local y el desarrollo del personal."
